Time,Signal
0.0,0.0
0.001,0.3090169943749474
0.002,0.5877852522924731
0.003,0.8090169943749475
0.004,0.9510565162951535
0.005,1.0
0.006,0.9510565162951535
0.007,0.8090169943749475
0.008,0.5877852522924732
0.009000000000000001,0.3090169943749471
0.01,1.2246467991473532e-16
0.011,-0.3090169943749473
0.012,-0.5877852522924734
0.013000000000000001,-0.8090169943749479
0.014,-0.9510565162951535
0.015,-1.0
0.016,-0.9510565162951536
0.017,-0.809016994374947
0.018000000000000002,-0.5877852522924726
0.019,-0.3090169943749476
0.02,-2.4492935982947064e-16
0.021,0.309016994374948
0.022,0.5877852522924729
0.023,0.8090169943749472
0.024,0.9510565162951538
0.025,1.0
0.026000000000000002,0.9510565162951531
0.027,0.8090169943749477
0.028,0.5877852522924734
0.029,0.3090169943749478
0.03,3.6739403974420594e-16
0.031,-0.30901699437494706
0.032,-0.5877852522924728
0.033,-0.8090169943749482
0.034,-0.951056516295154
0.035,-1.0
0.036000000000000004,-0.9510565162951532
0.037,-0.8090169943749477
0.038,-0.5877852522924735
0.039,-0.3090169943749479
0.04,-4.898587196589413e-16
0.041,0.3090169943749486
0.042,0.5877852522924741
0.043000000000000003,0.8090169943749481
0.044,0.9510565162951534
0.045,1.0
0.046,0.9510565162951538
0.047,0.8090169943749478
0.048,0.5877852522924721
0.049,0.3090169943749463
0.05,-1.164033439826574e-15
0.051000000000000004,-0.3090169943749485
0.052000000000000005,-0.5877852522924755
0.053,-0.8090169943749481
0.054,-0.9510565162951534
0.055,-1.0
0.056,-0.9510565162951538
0.057,-0.8090169943749468
0.058,-0.5877852522924737
0.059000000000000004,-0.3090169943749464
0.06,-7.347880794884119e-16
0.061,0.3090169943749484
0.062,0.5877852522924725
0.063,0.809016994374948
0.064,0.9510565162951533
0.065,1.0
0.066,0.9510565162951528
0.067,0.8090169943749469
0.068,0.5877852522924709
0.069,0.30901699437494656
0.07,-2.6954609193973537e-15
0.07100000000000001,-0.3090169943749483
0.07200000000000001,-0.5877852522924752
0.073,-0.8090169943749459
0.074,-0.9510565162951533
0.075,-1.0
0.076,-0.9510565162951539
0.077,-0.8090169943749469
0.078,-0.5877852522924739
0.079,-0.3090169943749467
0.08,-9.797174393178826e-16
0.081,0.3090169943749482
0.082,0.5877852522924751
0.083,0.8090169943749479
0.084,0.9510565162951543
0.085,1.0
0.08600000000000001,0.9510565162951528
0.08700000000000001,0.8090169943749449
0.088,0.587785252292474
0.089,0.30901699437495017
0.09,1.102182119232618e-15
0.091,-0.30901699437494806
0.092,-0.5877852522924722
0.093,-0.8090169943749478
0.094,-0.9510565162951532
0.095,-1.0
0.096,-0.9510565162951529
0.097,-0.8090169943749471
0.098,-0.5877852522924712
0.099,-0.3090169943749469
0.1,2.328066879653148e-15
0.101,0.30901699437494795
0.10200000000000001,0.587785252292475
0.10300000000000001,0.8090169943749498
0.10400000000000001,0.9510565162951554
0.105,1.0
0.106,0.9510565162951529
0.107,0.8090169943749492
0.108,0.5877852522924742
0.109,0.309016994374947
0.11,-2.2056021997384123e-15
0.111,-0.3090169943749512
0.112,-0.587785252292472
0.113,-0.8090169943749477
0.114,-0.9510565162951542
0.115,-1.0
0.116,-0.951056516295154
0.117,-0.8090169943749472
0.11800000000000001,-0.5877852522924715
0.11900000000000001,-0.30901699437494373
0.12,-1.4695761589768238e-15
0.121,0.30901699437494773
0.122,0.5877852522924748
0.123,0.8090169943749455
0.124,0.9510565162951531
0.125,1.0
0.126,0.951056516295153
0.127,0.8090169943749452
0.128,0.5877852522924744
0.129,0.30901699437494723
0.13,-1.9606728399089416e-15
0.131,-0.30901699437495095
0.132,-0.5877852522924776
0.133,-0.8090169943749476
0.134,-0.9510565162951542
0.135,-1.0
0.136,-0.9510565162951519
0.137,-0.8090169943749473
0.138,-0.5877852522924716
0.139,-0.30901699437494395
0.14,5.3909218387947074e-15
0.14100000000000001,0.3090169943749542
0.14200000000000002,0.5877852522924746
0.14300000000000002,0.8090169943749496
0.14400000000000002,0.9510565162951552
0.145,1.0
0.146,0.9510565162951552
0.147,0.8090169943749496
0.148,0.5877852522924746
0.149,0.30901699437494745
0.15,-1.7157434800794711e-15
0.151,-0.30901699437494395
0.152,-0.5877852522924716
0.153,-0.8090169943749473
0.154,-0.9510565162951541
0.155,-1.0
0.156,-0.9510565162951542
0.157,-0.8090169943749476
0.158,-0.5877852522924718
0.159,-0.30901699437494423
0.16,-1.959434878635765e-15
0.161,0.30901699437494723
0.162,0.5877852522924744
0.163,0.8090169943749493
0.164,0.9510565162951552
0.165,1.0
0.166,0.9510565162951531
0.167,0.8090169943749455
0.168,0.587785252292469
0.169,0.30901699437494096
0.17,-1.4708141202500005e-15
0.171,-0.3090169943749505
0.17200000000000001,-0.5877852522924771
0.17300000000000001,-0.8090169943749514
0.17400000000000002,-0.9510565162951562
0.17500000000000002,-1.0
0.176,-0.9510565162951542
0.177,-0.8090169943749477
0.178,-0.5877852522924778
0.179,-0.3090169943749512
0.18,-2.204364238465236e-15
0.181,0.309016994374947
0.182,0.5877852522924742
0.183,0.809016994374945
0.184,0.9510565162951529
0.185,1.0
0.186,0.9510565162951532
0.187,0.8090169943749457
0.188,0.587785252292475
0.189,0.30901699437494795
0.19,-1.22588476042053e-15
0.191,-0.3090169943749503
0.192,-0.587785252292477
0.193,-0.8090169943749471
0.194,-0.951056516295154
0.195,-1.0
0.196,-0.9510565162951521
0.197,-0.8090169943749437
0.198,-0.5877852522924722
0.199,-0.3090169943749447
0.2,4.656133759306296e-15
0.201,0.30901699437495356
0.202,0.587785252292474
0.203,0.8090169943749491
0.20400000000000001,0.951056516295155
0.20500000000000002,1.0
0.20600000000000002,0.9510565162951511
0.20700000000000002,0.8090169943749416
0.20800000000000002,0.5877852522924637
0.209,0.3090169943749482
0.21,-9.809554005910593e-16
0.211,-0.30901699437495006
0.212,-0.5877852522924768
0.213,-0.8090169943749428
0.214,-0.9510565162951516
0.215,-1.0
0.216,-0.9510565162951544
0.217,-0.8090169943749479
0.218,-0.5877852522924724
0.219,-0.3090169943749449
0.22,4.411204399476825e-15
0.221,0.3090169943749533
0.222,0.5877852522924796
0.223,0.8090169943749448
0.224,0.9510565162951528
0.225,1.0
0.226,0.9510565162951533
0.227,0.8090169943749459
0.228,0.5877852522924696
0.229,0.3090169943749416
0.23,-7.841453398362591e-15
0.231,-0.30901699437495656
0.232,-0.5877852522924708
0.233,-0.8090169943749468
0.234,-0.9510565162951538
0.23500000000000001,-1.0
0.23600000000000002,-0.9510565162951523
0.23700000000000002,-0.8090169943749439
0.23800000000000002,-0.5877852522924669
0.23900000000000002,-0.3090169943749384
0.24,-2.9391523179536475e-15
0.241,0.3090169943749463
0.242,0.5877852522924736
0.243,0.8090169943749488
0.244,0.9510565162951549
0.245,1.0
0.246,0.9510565162951556
0.247,0.8090169943749502
0.248,0.5877852522924756
0.249,0.3090169943749486
0.25,-4.91096680932118e-16
0.251,-0.30901699437494956
0.252,-0.5877852522924764
0.253,-0.8090169943749508
0.254,-0.9510565162951559
0.255,-1.0
0.256,-0.9510565162951545
0.257,-0.8090169943749482
0.258,-0.5877852522924728
0.259,-0.3090169943749454
0.26,3.921345679817883e-15
0.261,0.30901699437495284
0.262,0.5877852522924791
0.263,0.8090169943749529
0.264,0.951056516295157
0.265,1.0
0.266,0.9510565162951535
0.267,0.8090169943749462
0.268,0.58778525229247
0.269,0.3090169943749421
0.27,-7.351594678703649e-15
0.271,-0.3090169943749561
0.272,-0.5877852522924819
0.273,-0.8090169943749549
0.274,-0.9510565162951536
0.275,-1.0
0.276,-0.9510565162951524
0.277,-0.8090169943749442
0.278,-0.5877852522924673
0.279,-0.30901699437493885
0.28,1.0781843677589415e-14
0.281,0.30901699437495933
0.28200000000000003,0.5877852522924847
0.28300000000000003,0.8090169943749569
0.28400000000000003,0.9510565162951546
0.28500000000000003,1.0
0.28600000000000003,0.9510565162951513
0.28700000000000003,0.8090169943749422
0.28800000000000003,0.5877852522924645
0.289,0.3090169943749491
0.29,-1.2379612731767154e-18
0.291,-0.30901699437493557
0.292,-0.5877852522924645
0.293,-0.8090169943749422
0.294,-0.9510565162951513
0.295,-1.0
0.296,-0.9510565162951546
0.297,-0.8090169943749486
0.298,-0.5877852522924732
0.299,-0.30901699437494584
0.3,3.4314869601589423e-15
0.301,0.30901699437493885
0.302,0.5877852522924673
0.303,0.8090169943749442
0.304,0.9510565162951524
0.305,1.0
0.306,0.9510565162951536
0.307,0.8090169943749465
0.308,0.5877852522924705
0.309,0.30901699437494257
0.31,-6.861735959044708e-15
0.311,-0.3090169943749421
0.312,-0.58778525229247
0.313,-0.8090169943749462
0.314,-0.9510565162951535
0.315,-1.0
0.316,-0.9510565162951525
0.317,-0.8090169943749445
0.318,-0.5877852522924677
0.319,-0.3090169943749393
0.32,-3.91886975727153e-15
0.321,0.3090169943749454
0.322,0.5877852522924728
0.323,0.8090169943749482
0.324,0.9510565162951545
0.325,1.0
0.326,0.9510565162951515
0.327,0.8090169943749425
0.328,0.5877852522924649
0.329,0.30901699437493607
0.33,4.886207583857646e-16
0.331,-0.3090169943749486
0.332,-0.5877852522924756
0.333,-0.8090169943749502
